date,부가가치세
2022-11-25,14.21123
2022-11-26,7.04769
2022-11-27,7.18285
2022-11-28,15.6787
2022-11-29,17.03031
2022-11-30,18.3433
2022-12-01,16.7793
2022-12-02,15.42768
2022-12-03,6.50704
2022-12-04,7.58833
2022-12-05,16.14211
2022-12-06,16.60552
2022-12-07,18.20814
2022-12-08,17.99575
2022-12-09,15.73662
2022-12-10,8.47653
2022-12-11,7.33732
2022-12-12,18.26607
2022-12-13,17.39718
2022-12-14,16.81791
2022-12-15,16.39312
2022-12-16,13.57404
2022-12-17,7.60764
2022-12-18,6.6229
2022-12-19,14.19192
2022-12-20,16.00695
2022-12-21,16.33519
2022-12-22,23.88491
2022-12-23,13.18787
2022-12-24,6.31396
2022-12-25,6.60359
2022-12-26,15.54354
2022-12-27,16.50897
2022-12-28,16.93377
2022-12-29,15.52423
2022-12-30,13.67059
2022-12-31,6.93184
2023-01-01,9.78953
2023-01-02,41.14693
2023-01-03,48.27186
2023-01-04,38.98435
2023-01-05,33.57791
2023-01-06,28.69279
2023-01-07,15.4663
2023-01-08,14.98358
2023-01-09,42.18961
2023-01-10,41.43657
2023-01-11,40.52905
2023-01-12,43.38675
2023-01-13,41.66827
2023-01-14,22.24367
2023-01-15,26.9357
2023-01-16,71.28789
2023-01-17,68.58466
2023-01-18,66.13245
2023-01-19,68.10195
2023-01-20,58.38965
2023-01-21,22.61054
2023-01-22,18.88395
2023-01-23,24.23247
2023-01-24,38.77196
2023-01-25,100.0
2023-01-26,80.38231
2023-01-27,62.7148
2023-01-28,15.87178
2023-01-29,11.16045
2023-01-30,26.33713
2023-01-31,23.55667
2023-02-01,19.27012
2023-02-02,18.324
2023-02-03,15.62077
2023-02-04,8.12898
2023-02-05,7.82004
2023-02-06,29.27206
2023-02-07,25.23653
2023-02-08,19.75284
2023-02-09,19.73353
2023-02-10,17.95713
2023-02-11,9.13303
2023-02-12,9.59644
2023-02-13,17.43579
2023-02-14,17.99575
2023-02-15,16.18072
2023-02-16,18.45916
2023-02-17,16.18072
2023-02-18,7.37594
2023-02-19,7.58833
2023-02-20,17.87989
2023-02-21,17.16547
2023-02-22,15.27321
2023-02-23,16.3545
2023-02-24,15.52423
2023-02-25,7.68488
2023-02-26,7.99382
2023-02-27,15.56284
2023-02-28,17.37787
2023-03-01,9.22958
2023-03-02,14.94497
2023-03-03,14.21123
2023-03-04,7.24078
2023-03-05,7.27939
2023-03-06,15.38907
2023-03-07,18.59432
2023-03-08,16.14211
2023-03-09,17.6675
2023-03-10,16.91446
2023-03-11,7.56902
2023-03-12,6.95114
2023-03-13,17.57095
2023-03-14,20.39003
2023-03-15,18.86464
2023-03-16,20.52519
2023-03-17,14.55879
2023-03-18,7.10561
2023-03-19,7.26008
2023-03-20,18.30469
2023-03-21,17.91851
