date,환테크
2022-08-05,6.60015
2022-08-06,3.22333
2022-08-07,2.45587
2022-08-08,6.75364
2022-08-09,5.6792
2022-08-10,5.75594
2022-08-11,9.05602
2022-08-12,6.13967
2022-08-13,4.14428
2022-08-14,4.75825
2022-08-15,4.52801
2022-08-16,13.04681
2022-08-17,7.44435
2022-08-18,6.29316
2022-08-19,8.82578
2022-08-20,4.6815
2022-08-21,6.13967
2022-08-22,13.12356
2022-08-23,13.81427
2022-08-24,9.28626
2022-08-25,9.66999
2022-08-26,7.5211
2022-08-27,7.29086
2022-08-28,6.36991
2022-08-29,11.97237
2022-08-30,8.97927
2022-08-31,8.05832
2022-09-01,8.97927
2022-09-02,7.75134
2022-09-03,5.21872
2022-09-04,6.29316
2022-09-05,10.43745
2022-09-06,9.05602
2022-09-07,13.35379
2022-09-08,14.88871
2022-09-09,16.0399
2022-09-10,5.21872
2022-09-11,4.75825
2022-09-12,6.83039
2022-09-13,10.05372
2022-09-14,31.15886
2022-09-15,14.96546
2022-09-16,13.2003
2022-09-17,8.36531
2022-09-18,7.75134
2022-09-19,11.51189
2022-09-20,8.44205
2022-09-21,9.13277
2022-09-22,18.34228
2022-09-23,14.65848
2022-09-24,9.59324
2022-09-25,7.06062
2022-09-26,13.35379
2022-09-27,13.89102
2022-09-28,14.42824
2022-09-29,12.50959
2022-09-30,9.66999
2022-10-01,6.67689
2022-10-02,6.75364
2022-10-03,7.44435
2022-10-04,8.36531
2022-10-05,7.59785
2022-10-06,8.36531
2022-10-07,6.29316
2022-10-08,3.99079
2022-10-09,3.53031
2022-10-10,4.98848
2022-10-11,7.82808
2022-10-12,6.60015
2022-10-13,7.82808
2022-10-14,6.29316
2022-10-15,5.06523
2022-10-16,3.76055
2022-10-17,4.60475
2022-10-18,8.59554
2022-10-19,10.51419
2022-10-20,7.90483
2022-10-21,6.29316
2022-10-22,5.6792
2022-10-23,6.29316
2022-10-24,9.82348
2022-10-25,8.21181
2022-10-26,8.44205
2022-10-27,6.67689
2022-10-28,5.14198
2022-10-29,3.76055
2022-10-30,2.14888
2022-10-31,5.75594
2022-11-01,5.5257
2022-11-02,4.91174
2022-11-03,7.29086
2022-11-04,5.83269
2022-11-05,3.60706
2022-11-06,2.76285
2022-11-07,6.44666
2022-11-08,6.90713
