date,라울뒤피
2023-01-26,1.12438
2023-01-27,0.98383
2023-01-28,0.86671
2023-01-29,0.74959
2023-01-30,1.17123
2023-01-31,0.98383
2023-02-01,0.96041
2023-02-02,0.91356
2023-02-03,1.26493
2023-02-04,0.91356
2023-02-05,0.77301
2023-02-06,0.93698
2023-02-07,1.12438
2023-02-08,1.17123
2023-02-09,1.12438
2023-02-10,0.84328
2023-02-11,1.05411
2023-02-12,0.93698
2023-02-13,1.17123
2023-02-14,0.89013
2023-02-15,1.45233
2023-02-16,1.05411
2023-02-17,1.73342
2023-02-18,1.03068
2023-02-19,0.67931
2023-02-20,1.59287
2023-02-21,0.89013
2023-02-22,1.5226
2023-02-23,1.28835
2023-02-24,0.67931
2023-02-25,0.67931
2023-02-26,1.19465
2023-02-27,0.89013
2023-02-28,1.40548
2023-03-01,0.91356
2023-03-02,1.45233
2023-03-03,1.54602
2023-03-04,0.74959
2023-03-05,0.96041
2023-03-06,1.38205
2023-03-07,1.75685
2023-03-08,2.99836
2023-03-09,2.74068
2023-03-10,12.20426
2023-03-11,5.29397
2023-03-12,4.91918
2023-03-13,8.31576
2023-03-14,8.59686
2023-03-15,7.61302
2023-03-16,35.62895
2023-03-17,20.73085
2023-03-18,22.27687
2023-03-19,22.5814
2023-03-20,26.2825
2023-03-21,24.104
2023-03-22,16.13961
2023-03-23,20.44975
2023-03-24,19.60646
2023-03-25,15.41344
2023-03-26,16.09276
2023-03-27,21.31646
2023-03-28,19.30194
2023-03-29,18.81002
2023-03-30,17.33427
2023-03-31,24.12743
2023-04-01,12.34481
2023-04-02,11.75919
2023-04-03,12.88357
2023-04-04,12.46193
2023-04-05,15.71796
2023-04-06,14.617
2023-04-07,15.01522
2023-04-08,12.5322
2023-04-09,12.64933
2023-04-10,12.25111
2023-04-11,11.75919
2023-04-12,19.30194
2023-04-13,16.2333
2023-04-14,14.5233
2023-04-15,10.04919
2023-04-16,12.20426
2023-04-17,13.68001
2023-04-18,29.35113
2023-04-19,20.70742
2023-04-20,15.99906
2023-04-21,20.05153
2023-04-22,20.66057
2023-04-23,20.4966
2023-04-24,23.07331
2023-04-25,22.5814
2023-04-26,21.48044
2023-04-27,27.28976
2023-04-28,33.00538
2023-04-29,28.78894
2023-04-30,28.64839
2023-05-01,48.55938
2023-05-02,100.0
2023-05-03,60.90419
2023-05-04,54.01733
2023-05-05,63.762
2023-05-06,62.61419
2023-05-07,64.30077
2023-05-08,50.33965
2023-05-09,47.22417
2023-05-10,46.80252
2023-05-11,47.29444
2023-05-12,57.76528
2023-05-13,44.92855
2023-05-14,46.54485
2023-05-15,46.8728
2023-05-16,61.81775
2023-05-17,56.66432
2023-05-18,54.79034
2023-05-19,53.29116
2023-05-20,51.41719
2023-05-21,58.4446
2023-05-22,43.10142
2023-05-23,47.27102
2023-05-24,47.50527
