date,상속세세율
2023-03-23,4.50197
2023-03-24,4.28007
2023-03-25,3.62426
2023-03-26,3.5996
2023-03-27,5.08382
2023-03-28,4.77317
2023-03-29,4.27514
2023-03-30,4.20611
2023-03-31,4.27514
2023-04-01,3.5996
2023-04-02,3.57988
2023-04-03,4.35404
2023-04-04,4.35404
2023-04-05,4.46252
2023-04-06,4.37869
2023-04-07,4.30473
2023-04-08,3.6637
2023-04-09,3.46153
2023-04-10,4.58086
2023-04-11,4.63017
2023-04-12,4.66469
2023-04-13,4.74358
2023-04-14,4.285
2023-04-15,3.93491
2023-04-16,4.24556
2023-04-17,5.32051
2023-04-18,5.00493
2023-04-19,4.67948
2023-04-20,4.59072
2023-04-21,4.5069
2023-04-22,3.8067
2023-04-23,3.74753
2023-04-24,5.12327
2023-04-25,4.43786
2023-04-26,4.58086
2023-04-27,4.40335
2023-04-28,4.18145
2023-04-29,3.90039
2023-04-30,3.68836
2023-05-01,3.95956
2023-05-02,4.2357
2023-05-03,4.31952
2023-05-04,4.93096
2023-05-05,3.89546
2023-05-06,4.95069
2023-05-07,4.72879
2023-05-08,6.27218
2023-05-09,5.45364
2023-05-10,5.2712
2023-05-11,5.4783
2023-05-12,4.87179
2023-05-13,4.29487
2023-05-14,4.2357
2023-05-15,6.3708
2023-05-16,5.04437
2023-05-17,5.07396
2023-05-18,5.50295
2023-05-19,4.85207
2023-05-20,4.13214
2023-05-21,4.41814
2023-05-22,5.75936
2023-05-23,5.50788
2023-05-24,5.18737
2023-05-25,5.25641
