date,진료기록지
2023-04-07,44.82758
2023-04-08,26.43678
2023-04-09,22.9885
2023-04-10,88.50574
2023-04-11,59.1954
2023-04-12,64.36781
2023-04-13,66.09195
2023-04-14,55.17241
2023-04-15,26.43678
2023-04-16,21.26436
2023-04-17,76.43678
2023-04-18,65.51724
2023-04-19,67.24137
2023-04-20,59.1954
2023-04-21,51.72413
2023-04-22,27.01149
2023-04-23,16.66666
2023-04-24,84.48275
2023-04-25,72.41379
2023-04-26,69.54022
2023-04-27,67.81609
2023-04-28,47.70114
2023-04-29,22.9885
2023-04-30,15.51724
2023-05-01,45.97701
2023-05-02,83.33333
2023-05-03,74.71264
2023-05-04,51.14942
2023-05-05,17.24137
2023-05-06,24.71264
2023-05-07,17.81609
2023-05-08,70.11494
2023-05-09,93.10344
2023-05-10,77.5862
2023-05-11,68.3908
2023-05-12,59.77011
2023-05-13,26.43678
2023-05-14,21.26436
2023-05-15,78.73563
2023-05-16,75.28735
2023-05-17,79.88505
2023-05-18,63.7931
2023-05-19,74.71264
2023-05-20,30.45977
2023-05-21,22.41379
2023-05-22,89.65517
2023-05-23,74.13793
2023-05-24,68.3908
