date,저PBR
2022-12-01,0.22919
2022-12-02,0.21712
2022-12-05,0.0965
2022-12-06,0.13268
2022-12-07,0.16887
2022-12-08,0.2895
2022-12-09,0.20506
2022-12-10,0.08443
2022-12-11,0.16887
2022-12-12,0.20506
2022-12-13,0.24125
2022-12-14,0.193
2022-12-15,0.13268
2022-12-16,0.08443
2022-12-17,0.0965
2022-12-18,0.07237
2022-12-20,0.10856
2022-12-21,0.18094
2022-12-22,0.06031
2022-12-23,0.06031
2022-12-24,0.10856
2022-12-26,0.16887
2022-12-28,0.15681
2022-12-29,0.10856
2022-12-30,0.08443
2022-12-31,0.07237
2023-01-01,0.14475
2023-01-02,0.13268
2023-01-03,0.15681
2023-01-04,0.06031
2023-01-05,0.26537
2023-01-06,0.26537
2023-01-07,0.10856
2023-01-08,0.18094
2023-01-09,0.14475
2023-01-10,0.14475
2023-01-11,0.22919
2023-01-12,0.21712
2023-01-13,0.14475
2023-01-14,0.12062
2023-01-15,0.25331
2023-01-16,0.24125
2023-01-17,0.13268
2023-01-18,0.15681
2023-01-19,0.20506
2023-01-20,0.24125
2023-01-21,0.193
2023-01-22,0.15681
2023-01-24,0.12062
2023-01-25,0.12062
2023-01-26,0.15681
2023-01-27,0.10856
2023-01-28,0.16887
2023-01-29,0.18094
2023-01-30,0.13268
2023-01-31,0.24125
2023-02-01,0.13268
2023-02-02,0.193
2023-02-03,0.06031
2023-02-04,0.13268
2023-02-05,0.12062
2023-02-07,0.14475
2023-02-08,0.20506
2023-02-09,0.25331
2023-02-10,0.07237
2023-02-11,0.10856
2023-02-12,0.13268
2023-02-13,0.22919
2023-02-14,0.193
2023-02-15,0.26537
2023-02-16,0.15681
2023-02-17,0.193
2023-02-19,0.06031
2023-02-20,0.34981
2023-02-21,0.22919
2023-02-22,0.24125
2023-02-23,0.07237
2023-02-24,0.193
2023-02-25,0.06031
2023-02-26,0.21712
2023-02-27,0.06031
2023-02-28,0.08443
2023-03-02,0.10856
2023-03-03,0.13268
2023-03-04,0.13268
2023-03-05,0.15681
2023-03-06,0.06031
2023-03-07,0.0965
2023-03-08,0.21712
2023-03-09,0.15681
2023-03-10,0.10856
2023-03-11,0.13268
2023-03-12,0.07237
2023-03-13,0.10856
2023-03-14,0.06031
2023-03-15,0.07237
2023-03-16,0.12062
2023-03-17,0.15681
2023-03-18,0.07237
2023-03-19,0.10856
2023-03-20,0.14475
2023-03-21,0.13268
2023-03-22,0.06031
2023-03-23,0.07237
2023-03-24,0.08443
2023-03-25,0.06031
2023-03-26,0.0965
2023-03-27,0.10856
2023-03-28,0.13268
2023-03-29,0.13268
2023-03-31,0.06031
2023-04-01,0.06031
2023-04-03,0.18094
2023-04-04,0.27744
2023-04-05,0.12062
2023-04-06,0.15681
2023-04-07,0.12062
2023-04-08,0.10856
2023-04-09,0.20506
2023-04-10,0.07237
2023-04-11,0.0965
2023-04-12,0.20506
2023-04-13,0.30156
2023-04-14,0.06031
2023-04-15,0.0965
2023-04-16,0.10856
2023-04-17,0.20506
2023-04-18,0.07237
2023-04-19,0.15681
2023-04-20,0.0965
2023-04-21,0.13268
2023-04-22,0.06031
2023-04-23,0.08443
2023-04-24,0.08443
2023-04-25,0.14475
2023-04-26,0.24125
2023-04-27,0.10856
2023-04-28,0.06031
2023-04-29,0.08443
2023-04-30,0.0965
2023-05-01,0.08443
2023-05-02,0.15681
2023-05-03,0.06031
2023-05-04,0.16887
2023-05-05,0.07237
2023-05-06,0.12062
2023-05-07,0.12062
2023-05-08,0.08443
2023-05-09,0.14475
2023-05-10,0.08443
2023-05-11,0.20506
2023-05-12,0.15681
2023-05-13,0.12062
2023-05-14,0.193
2023-05-15,0.193
2023-05-16,0.12062
2023-05-17,0.10856
2023-05-18,0.27744
2023-05-19,0.18094
2023-05-20,0.193
2023-05-21,0.193
2023-05-22,0.08443
2023-05-23,0.21712
2023-05-24,0.16887
2023-05-25,0.08443
2023-05-26,0.08443
2023-05-27,0.06031
2023-05-28,0.13268
2023-05-29,0.14475
2023-06-01,0.16887
2023-06-02,0.07237
2023-06-03,0.18094
2023-06-04,0.14475
2023-06-05,0.13268
2023-06-06,0.08443
2023-06-07,0.14475
2023-06-08,0.21712
2023-06-09,0.07237
2023-06-11,0.12062
2023-06-12,0.25331
2023-06-13,0.10856
2023-06-14,0.06031
2023-06-15,0.13268
2023-06-16,0.10856
2023-06-18,0.15681
2023-06-19,0.06031
2023-06-20,0.18094
2023-06-21,0.14475
2023-06-22,0.18094
2023-06-23,0.15681
2023-06-24,0.06031
2023-06-25,0.08443
2023-06-27,0.06031
2023-06-28,0.06031
2023-06-29,0.13268
2023-06-30,0.16887
2023-07-02,0.08443
2023-07-04,0.06031
2023-07-05,0.14475
2023-07-06,0.13268
2023-07-07,0.13268
2023-07-08,0.08443
