date,기아주식
2023-02-03,21.77019
2023-02-04,3.84997
2023-02-05,2.48065
2023-02-06,19.82536
2023-02-07,17.95991
2023-02-08,19.09108
2023-02-09,18.97201
2023-02-10,20.14288
2023-02-11,3.43322
2023-02-12,2.4608
2023-02-13,21.37328
2023-02-14,20.36118
2023-02-15,18.11867
2023-02-16,31.49434
2023-02-17,31.75233
2023-02-18,5.06052
2023-02-19,2.93709
2023-02-20,21.5122
2023-02-21,18.99186
2023-02-22,17.42409
2023-02-23,20.85731
2023-02-24,16.86842
2023-02-25,3.15538
2023-02-26,2.08374
2023-02-27,18.29728
2023-02-28,21.09545
2023-03-01,3.57213
2023-03-02,26.63226
2023-03-03,21.96864
2023-03-04,3.92935
2023-03-05,2.6791
2023-03-06,20.897
2023-03-07,20.73824
2023-03-08,21.49235
2023-03-09,20.30164
2023-03-10,18.53542
2023-03-11,3.09585
2023-03-12,2.22266
2023-03-13,19.62691
2023-03-14,18.53542
2023-03-15,27.86267
2023-03-16,21.43282
2023-03-17,22.26632
2023-03-18,4.64377
2023-03-19,2.69894
2023-03-20,18.3965
2023-03-21,17.9996
2023-03-22,19.4483
2023-03-23,19.26969
2023-03-24,17.04703
2023-03-25,2.65925
2023-03-26,2.2425
2023-03-27,16.53105
2023-03-28,17.95991
2023-03-29,20.42071
2023-03-30,21.09545
2023-03-31,27.00932
2023-04-01,4.14764
2023-04-02,3.49275
2023-04-03,24.78666
2023-04-04,25.10418
2023-04-05,24.15161
2023-04-06,25.79876
2023-04-07,20.85731
2023-04-08,3.47291
2023-04-09,2.48065
2023-04-10,21.69081
2023-04-11,42.42905
2023-04-12,39.69041
2023-04-13,32.56598
2023-04-14,28.29926
2023-04-15,3.73089
2023-04-16,2.6791
2023-04-17,23.65548
2023-04-18,23.37765
2023-04-19,29.25183
2023-04-20,24.60805
2023-04-21,18.65449
2023-04-22,3.33399
2023-04-23,2.50049
2023-04-24,21.69081
2023-04-25,30.14487
2023-04-26,40.127
2023-04-27,29.25183
2023-04-28,23.23873
2023-04-29,3.45306
2023-04-30,2.22266
2023-05-01,7.28319
2023-05-02,25.64
2023-05-03,22.22663
2023-05-04,20.63901
2023-05-05,4.24687
2023-05-06,2.77832
2023-05-07,2.14328
2023-05-08,23.27842
2023-05-09,21.80988
2023-05-10,35.86028
2023-05-11,37.18991
2023-05-12,24.48898
2023-05-13,4.3461
2023-05-14,3.076
2023-05-15,24.07223
2023-05-16,23.75471
2023-05-17,22.54415
2023-05-18,26.23536
2023-05-19,22.46477
2023-05-20,3.35384
2023-05-21,2.63941
2023-05-22,22.66322
2023-05-23,21.71065
2023-05-24,20.69855
2023-05-25,19.11093
2023-05-26,19.88489
