date,채권채무
2023-03-25,22.85714
2023-03-26,21.42857
2023-03-27,55.71428
2023-03-28,48.57142
2023-03-29,55.0
2023-03-30,46.42857
2023-03-31,47.85714
2023-04-01,17.85714
2023-04-02,6.42857
2023-04-03,49.28571
2023-04-04,47.14285
2023-04-05,45.71428
2023-04-06,46.42857
2023-04-07,42.85714
2023-04-08,22.14285
2023-04-09,22.14285
2023-04-10,45.71428
2023-04-11,56.42857
2023-04-12,50.0
2023-04-13,45.71428
2023-04-14,55.71428
2023-04-15,26.42857
2023-04-16,32.85714
2023-04-17,56.42857
2023-04-18,66.42857
2023-04-19,45.0
2023-04-20,62.85714
2023-04-21,57.14285
2023-04-22,19.28571
2023-04-23,25.0
2023-04-24,29.28571
2023-04-25,62.14285
2023-04-26,40.71428
2023-04-27,50.0
2023-04-28,37.14285
2023-04-29,15.71428
2023-04-30,13.57142
2023-05-01,21.42857
2023-05-02,38.57142
2023-05-03,41.42857
2023-05-04,34.28571
2023-05-05,20.0
2023-05-06,11.42857
2023-05-07,15.0
2023-05-08,42.85714
2023-05-09,45.0
2023-05-10,42.85714
2023-05-11,51.42857
2023-05-12,35.71428
2023-05-13,9.28571
2023-05-14,18.57142
2023-05-15,46.42857
2023-05-16,38.57142
2023-05-17,48.57142
2023-05-18,42.14285
2023-05-19,37.85714
2023-05-20,13.57142
2023-05-21,14.28571
2023-05-22,37.14285
2023-05-23,62.14285
2023-05-24,51.42857
2023-05-25,41.42857
2023-05-26,29.28571
2023-05-27,15.71428
2023-05-28,15.71428
2023-05-29,19.28571
2023-05-30,47.85714
2023-05-31,41.42857
2023-06-01,45.0
2023-06-02,21.42857
2023-06-03,14.28571
2023-06-04,10.71428
2023-06-05,34.28571
2023-06-06,19.28571
2023-06-07,30.71428
